id;nombre;domicilio;telefono;email;web;tipo;calle;altura;direccion;Long;Lat
171;Park Royal Buenos Aires;Suipacha 1092;(54 11) 4320-3600;reservationsbue@park-royalhotels.com;https://www.park-royalhotels.com/es/hoteles/argentina/buenos-aires/park-royal-city-buenos-aires/;;Suipacha;1092;Suipacha 1092;;
172;Torre Cristoforo Colombo Suites;Fray Justo Santa María de Oro 2747;(54 11) 4778-4945;reservas@hotelcc.com.ar;https://www.hotelcc.com.ar;;Fray Justo Santa María de Oro;2747;Fray Justo Santa María de Oro 2747;;
173;Trianon Residence Recoleta;Callao Av. 1869;(54 11) 4819-9300;info@trianon.com.ar;https://www.trianonresidence.com/;;Callao Av.;1869;Callao Av. 1869;;
174;UP Viamonte;Viamonte 1373;(54 11) 4371-9993 / 5254 2210;;;;Viamonte;1373;Viamonte 1373;;
175;Village Garden Apart Hotel;Suipacha 250;(54 11) 4326-0163 / 7879 / 8737;reservas@hotelvillagegarden.com.ar;;;Suipacha;250;Suipacha 250;;
176;Argentina Tango Hotel;Suipacha 545;(54 9 11) 56 30 46 77;;http://www.atangohotel.com/#;;Suipacha;545;Suipacha 545;;
177;Icaro Suites;Montevideo 229;(54 11) 4372-9000;resevas@icarosuites.com;;;Montevideo;229;Montevideo 229;;
178;Intersur Suites;Corrientes Av. 1984;(54 11) 5246-1500;reservas@intersursuites.com.ar;;;Corrientes Av.;1984;Corrientes Av. 1984;;
179;Ker House Belgrano;Vuelta de Obligado 2727;(54 11) 5277-4600 / 4789-9383;reservasbelgrano@kerhoteles.com.ar;;;Vuelta de Obligado;2727;Vuelta de Obligado 2727;;
180;Ker Urban Urquiza;Dïaz Colodrero 2513;(54 11) 5353-9232 / 9233;reservasurquiza@kerhoteles.com.ar;;;Dïaz Colodrero;2513;Dïaz Colodrero 2513;;
181;Mayflower Suites;Paraná 720;(54 11) 5238 0050 / 5235 0456;reservas@mayflowersuites.com.ar;;;Paraná;720;Paraná 720;;
182;Palermo Suites Buenos Aires Apartments;Fray Justo Santa María de Oro 2529;(54 11) 5197-5800;reservas@palermosuites.net;;;Fray Justo Santa María de Oro;2529;Fray Justo Santa María de Oro 2529;;
183;The Glu Hotel;Godoy Cruz 1733;(54 11) 4831-4646;info@thegluhotel.com;;;Godoy Cruz;1733;Godoy Cruz 1733;;
184;Ulises Recoleta Suites;Ayacucho 2016;(54 11) 4804-4571 / 4572;info@ulisesrecoleta.com.ar;www.ulisesrecoleta.com.ar;;Ayacucho;2016;Ayacucho 2016;;
185;UP America Plaza;Mitre, Bartolome 1744;(54 11) 5031-3388;info@americaplazahotel.com.ar;https://www.upamericaplaza.com/;;Mitre, Bartolome;1744;Mitre, Bartolome 1744;;
186;Urban Suites Recoleta;Junín 1727;(54 11) 4803 2300;ventas@urbanrecoleta.com;www.urbanrecoleta.com;;Junín;1727;Junín 1727;;
187;Vitrum Hotel;Gorriti 5641;(54 11) 4776-5030;info@vitrumhotel.com;;;Gorriti;5641;Gorriti 5641;;
188;Desing Ce - Hotel de Diseño;Alvear, Marcelo T. De 1695;(54 11) 5237-3100;info@designce.com;http://www.designce.com/home/;;Alvear, Marcelo T. De;1695;Alvear, Marcelo T. De 1695;;
189;Hotel Pampa Plaza;La Pampa 777;(54 11) 4789-9561 / 4788-3984/3084;info@hotelpampaplaza.com.ar;;;La Pampa;777;La Pampa 777;;
190;ABC;Santiago Del Estero 1640;(54 11) 4304-2706;bettyyvos@gmail.com;;;Santiago Del Estero;1640;Santiago Del Estero 1640;;
191;Alba;Garay, Juan De Av. 1381;(54 11) 4304-2935 / 4306-4304;albahoteleria@yahoo.com.ar,gaetos@hotmail.com;;;Garay, Juan De Av.;1381;Garay, Juan De Av. 1381;;
192;Aldeano I;La Rioja 277;(54 11) 4931-2980;aldeano1@hotelaldeano.com.ar;;;La Rioja;277;La Rioja 277;;
193;Alsina;24 de noviembre 190;(54 11) 4931-9393;;;;24 de noviembre;190;24 de noviembre 190;;
194;Aries;Gascón 1147;(54 11) 4883-1232/1164585589/44323702;info@arieshotel.com.ar;;;Gascón;1147;Gascón 1147;;
195;Astor;Av. Caseros 896;(54 11) 4307-7117;info@astorhoteles.com.ar;;;Av. Caseros;896;Av. Caseros 896;;
196;Autopista;Salta 1446;(54 11) 4305-1634;;;;Salta;1446;Salta 1446;;
197;Bahia;Yrigoyen, Hipolito 3062;(54 11) 4931-7198;info@elhotelbahia.com.ar;;;Yrigoyen, Hipolito;3062;Yrigoyen, Hipolito 3062;;
198;Capri;Constitución 1881;(54 11) 4304-0305;;;;Constitución;1881;Constitución 1881;;
199;Carlos I;Calvo, Carlos 1463;(54 11) 4305-3700;cristianlanni@hotmail.com;;;Calvo, Carlos;1463;Calvo, Carlos 1463;;
200;Casablanca;Santiago del Estero 1685;(54 11) 4305-4048;cristinanovas@ciudad.com.ar,hotelcasablanca@ciudad.com.ar;;;Santiago del Estero;1685;Santiago del Estero 1685;;
201;Central;Brasil 1327;(54 11) 4304-3783;;;;Brasil;1327;Brasil 1327;;
202;Cibeles;Cevallos, Virrey 264;(54 11) 4373-1444;hotelcibeles@hotmail.com.ar;;;Cevallos, Virrey;264;Cevallos, Virrey 264;;
203;Colonial;24 de noviembre 229;(54 11) 4931-8800/3104;info@hotelcolonialbaires.com.ar;;;24 de noviembre;229;24 de noviembre 229;;
204;Dos Mundos;Sarmiento 2009;(54 11) 4953-2171;hoteldosmundos@yahoo.com;;;Sarmiento;2009;Sarmiento 2009;;
205;Egipto;Corrientes Av. 3193;(54 11) 4863-0808;info@hotelegipto.com.ar;;;Corrientes Av.;3193;Corrientes Av. 3193;;
206;Esquel;Brasil 1319;(54 11) 4505-6362;;;;Brasil;1319;Brasil 1319;;
207;Europa;Mitre, Bartolome 1294;(54 11) 4384-8360;info@eurohotel.com.ar;;;Mitre, Bartolome;1294;Mitre, Bartolome 1294;;
208;Galicia;Yrigoyen, Hipolito 3072;(54 11) 4931-7270;;;;Yrigoyen, Hipolito;3072;Yrigoyen, Hipolito 3072;;
209;Gran Hotel América;Bernardo 1608;(54 11) 4307-8785/9671;info@granhotelamerica.com.ar;;;Bernardo;1608;Bernardo 1608;;
210;Gran Hotel España;Tacuarí 80;(54 11) 4343-5541;;;;Tacuarí;80;Tacuarí 80;;
211;Gran Hotel Oriental;Mitre, Bartolome 1840;(54 11) 4952-3371 / 4951-6427;ghoriental@hotmail.com;;;Mitre, Bartolome;1840;Mitre, Bartolome 1840;;
212;Guayaquil;Moreno 2718;(54 11) 4957-5097;info@hotelguayaquil.com.ar;;;Moreno;2718;Moreno 2718;;
213;Hotel San Martin;Callao Av. 327;(54 11 ) 4371-6450;hotelsanmartin1@yahoo.com.ar;;;Callao Av.;327;Callao Av. 327;;
214;Jade;Sanchez De Bustamante 839;(54 11) 4863-8711;;;;Sanchez De Bustamante;839;Sanchez De Bustamante 839;;
215;La Vasconia;Salta 1806;(54 11) 4304-3031;silvadaut@hotmail.com;;;Salta;1806;Salta 1806;;
216;Lacroze;Lacroze, Federico Av. 3236;(54 11) 4552-4445;;;;Lacroze, Federico Av.;3236;Lacroze, Federico Av. 3236;;
217;Las Familias;Cuba 3146;(54 11) 4702-5687;lasfamiliashotel@gmail.com;http://www.hotellasfamilias.com/es/;;Cuba;3146;Cuba 3146;;
218;Leon;Callao Av. 758;(54 11) 4811-5054;hotel-leon@hotmail.com;;;Callao Av.;758;Callao Av. 758;;
219;Litoral;Corrientes Av. 6891;(54 11) 4554-5493;;;;Corrientes Av.;6891;Corrientes Av. 6891;;
220;Los Robles;Estados Unidos 827;(54 11) 4300-2096;daquilaus@hotmail.com;;;Estados Unidos;827;Estados Unidos 827;;
221;Lourdes;Callao Av. 44;(54 11)4952-3087/3720;lourdeshotel@yahoo.com.ar;;;Callao Av.;44;Callao Av. 44;;
222;Marfil;Ecuador 282;(54 11) 4861-1570;;;;Ecuador;282;Ecuador 282;;
223;Medrano Plaza Hotel;Medrano 874;(54 11) 4864-1631;info@medranoplazahotel.com.ar;;;Medrano;874;Medrano 874;;
224;Miki;La Rioja 271;(54 11) 4957-1614;;;;La Rioja;271;La Rioja 271;;
225;Miño;Gallo 1258;(54 11) 4962-3673;rodovalho@ciudad.com.ar;;;Gallo;1258;Gallo 1258;;
226;Odeon;Humberto 1º 1257;(54 11) 4303-3347/9775;info@hotelodeon.com.ar,hotelodeon@hotmail.com;;;Humberto 1º;1257;Humberto 1º 1257;;
227;Once Plaza;Moreno 2717;(54 11) 4932-5400;info@onceplazahteldos.com.ar;;;Moreno;2717;Moreno 2717;;
228;Orleans;Callao Av. 680;(54 11) 4812-9342;consultas@orleanshotel.com.ar;;;Callao Av.;680;Callao Av. 680;;
229;Palace Hotel Rondeau;Entre Rios Av. 2100;(54 11) 4306-5388;;;;Entre Rios Av.;2100;Entre Rios Av. 2100;;
230;Paris;Av. Donato Álvarez 2141;(54 11) 4581-0400;;;;Av. Donato Álvarez;2141;Av. Donato Álvarez 2141;;
231;Piramides;Peron, Juan Domnigo, Tte. General 1473;(54 11) 4371-4849;;;;Peron, Juan Domnigo, Tte. General;1473;Peron, Juan Domnigo, Tte. General 1473;;
232;Reina;De Mayo Av. 1120;(54 11) 4381-2496;reservas@hotelreina.com.ar;https://hotelreina.com.ar/;;De Mayo Av.;1120;De Mayo Av. 1120;;
233;Rich;Paraguay 2088;(54 11) 4864-8444;;;;Paraguay;2088;Paraguay 2088;;
234;Rich;Bulnes 1247;(54 11) 4963-4963;;;;Bulnes;1247;Bulnes 1247;;
235;Roma;De Mayo Av. 1413;(54 11) 4383-1273;;;;De Mayo Av.;1413;De Mayo Av. 1413;;
236;Roma;Acuña de Figueroa, Francisco 422;(54 11) 4862-5993;;;;Acuña de Figueroa, Francisco;422;Acuña de Figueroa, Francisco 422;;
237;Rosedal;Santiago Del Estero 1687;(54 11) 4304-4800;;;;Santiago Del Estero;1687;Santiago Del Estero 1687;;
238;San Agustin;Pueyrredon Av. 121;(54 11) 4863-2131;hotelsanagustin@ciudad.com.ar;;;Pueyrredon Av.;121;Pueyrredon Av. 121;;
239;San Carlos;Moreno 3054;(54 11) 4931-7823;;;;Moreno;3054;Moreno 3054;;
240;San Julian;Aranguren 2528;(54 11) 4611-8607;;;;Aranguren;2528;Aranguren 2528;;
241;Soutullo;Bogota 2519;(54 11) 4612-9406;;;;Bogota;2519;Bogota 2519;;
242;Temuco;Peron, Juan Domnigo, Tte. General 4261;(54 11) 4862-3053;;;;Peron, Juan Domnigo, Tte. General;4261;Peron, Juan Domnigo, Tte. General 4261;;
243;Venezuela;Venezuela 2135;(54 11) 4942-8734;;;;Venezuela;2135;Venezuela 2135;;
244;Vesuvio;Rivadavia Av. 2548;(54 11) 4951-4715;;;;Rivadavia Av.;2548;Rivadavia Av. 2548;;
245;York;Alsina 2632;(54 11) 4951-8957;;;;Alsina;2632;Alsina 2632;;
246;24 de noviembre;24 de noviembre 1057;(54 11) 4931-4661;;;;24 de noviembre;1057;24 de noviembre 1057;;
247;9 de julio;Lima 1417;(54 11) 4305-3967;josemarceloteo@yahoo.com;;;Lima;1417;Lima 1417;;
248;Alcazar;De Mayo Av. 935;(54 11) 4345 4308;info@hotelalcazar.com.ar;;;De Mayo Av.;935;De Mayo Av. 935;;
249;Aldeano II;Pasco 136;(54 11) 4951-4102;aldeano2@hotelaldeano.com.ar;;;Pasco;136;Pasco 136;;
250;Ancon;Alvear, Marcelo T. De 2223;(54 11) 4824-0338;hotelancon@hotelancon.com.ar;http://hotelancon.com.ar/;;Alvear, Marcelo T. De;2223;Alvear, Marcelo T. De 2223;;
251;Astur;Avellaneda 371;(54 11) 4982-9515;;;;Avellaneda;371;Avellaneda 371;;
252;Baccara;Salta 952;(54 11) 4308-8173;;;;Salta;952;Salta 952;;
253;Bahia 1;Corrientes Av. 1212;(54 11) 4382-1780;anelluz@hotmail.com,arhotelbahia@gmail.com;;;Corrientes Av.;1212;Corrientes Av. 1212;;
254;Bahia 2;Corrientes Av. 1212;(54 11) 4382 1780;;;;Corrientes Av.;1212;Corrientes Av. 1212;;
255;Brisas del Mar;Humberto 1º 826;(54 11) 4306-6040;info@hotelbrisasdelmar.com.ar;;;Humberto 1º;826;Humberto 1º 826;;
256;Castilla;Mitre, Bartolome 1548;(54 11) 4338-4586;;;;Mitre, Bartolome;1548;Mitre, Bartolome 1548;;
257;Central;Alsina 1693;(54 11) 4304-3783;;;;Alsina;1693;Alsina 1693;;
258;Confort;Rivadavia Av. 2093;(54 11) 4953-4367;;;;Rivadavia Av.;2093;Rivadavia Av. 2093;;
259;Culpina;Culpina 553;(54 11) 4611-0573;;;;Culpina;553;Culpina 553;;
260;Ensenada;Ensenada 134;(54 11) 4672-2547;;;;Ensenada;134;Ensenada 134;;
261;Europeo;Sarmiento 2010;(54 11) 4953-6384;;;;Sarmiento;2010;Sarmiento 2010;;
262;Hotel Plaza Garay;Saenz Peña, Luis, Pres. 1572;(54 11) 4305-3661;hotelplazagaray@gmail.com;;;Saenz Peña, Luis, Pres.;1572;Saenz Peña, Luis, Pres. 1572;;
263;Imperial;Uriburu 1287;(54 11) 4824-1251;;;;Uriburu;1287;Uriburu 1287;;
264;La Piedad;Mitre, Bartolome 1156;(54 11) 4381-6810;lapiedadhotel@gmail.com;;;Mitre, Bartolome;1156;Mitre, Bartolome 1156;;
265;La Santa María;Cramer 618;(54 11) 4551-4166;;;;Cramer;618;Cramer 618;;
266;Los Ángeles;Yrigoyen, Hipolito 3073;(54 11) 4864-2692;;;;Yrigoyen, Hipolito;3073;Yrigoyen, Hipolito 3073;;
267;Magistral;Borges, Jorge Luis 1937;(54 11) 4831-4006;;;;Borges, Jorge Luis;1937;Borges, Jorge Luis 1937;;
268;Maipo;Esmeralda 474;(54 11) 4328-4907/4393-2982;hotelmaipo@hotmail.com;;;Esmeralda;474;Esmeralda 474;;
269;Mary Sil;Bolivia 1151;(54 11) 4581-9005;;;;Bolivia;1151;Bolivia 1151;;
270;Mayo;Alsina 2164;(54 11) 4952-7356;;;;Alsina;2164;Alsina 2164;;
271;Mexico;Mexico 2475;(54 11) 4942-1713;;;;Mexico;2475;Mexico 2475;;
272;Mexico;Mexico 2944;(54 11) 4931-3087;residencial.mexico.hotel@gmail.com;;;Mexico;2944;Mexico 2944;;
273;Miky;Talcahuano 362;(54 11) 4371-2376;;;;Talcahuano;362;Talcahuano 362;;
274;Miramar;Salta 1429;(54 11) 4306-6038;;;;Salta;1429;Salta 1429;;
275;Nazarre;Nazarre 3150;(54 11) 4501-2019;;;;Nazarre;3150;Nazarre 3150;;
276;Noemi;Diaz Velez Av. 5075;(54 11) 4982-8201;;;;Diaz Velez Av.;5075;Diaz Velez Av. 5075;;
277;O Rei;Lavalle 733;(54 11) 4393-7186;info@hotelorei.com.ar;;;Lavalle;733;Lavalle 733;;
278;Odeon;Esmeralda 368;(54 11) 4326-0128;hotelodeon@hotmail.com;;;Esmeralda;368;Esmeralda 368;;
279;Oliden;Alsina 2597;(54 11) 4951-8729;;;;Alsina;2597;Alsina 2597;;
280;Olleros;Olleros 3146;(54 11) 4552-9975;;;;Olleros;3146;Olleros 3146;;
281;Once;Rivadavia Av. 2962;(54 11) 4861-1666;;;;Rivadavia Av.;2962;Rivadavia Av. 2962;;
282;Panamerican;Moreno 2754;(54 11) 4942-8807;;;;Moreno;2754;Moreno 2754;;
283;Paso;Paso 50;(54 11) 4952-5736;;;;Paso;50;Paso 50;;
284;Pinot;Diaz Velez Av. 5069;(54 11) 4962-2747;;;;Diaz Velez Av.;5069;Diaz Velez Av. 5069;;
285;Pueyrredon;Av. Pueyrredón 47;(54 11) 4862-4377;;;;Av. Pueyrredón;47;Av. Pueyrredón 47;;
286;Rey;Combate de los Pozos 471;(54 11) 4942 8412;info@hotel-rey.com.ar;;;Combate de los Pozos;471;Combate de los Pozos 471;;
287;San Andres;San Luis 2921;(54 11) 4961-5346;;;;San Luis;2921;San Luis 2921;;
288;San Remo;Av. Directorio 2449;(54 11) 4612-9751;info@sanremoflores.com;;;Av. Directorio;2449;Av. Directorio 2449;;
289;Santa Cruz;Bogota 2858;(54 11) 4611-2133;;;;Bogota;2858;Bogota 2858;;
290;Sarmiento;Sarmiento 1162;(54 11) 4382-4148;;;;Sarmiento;1162;Sarmiento 1162;;
291;Sevilla;Solís 138;(54 11) 4372-8447;;;;Solís;138;Solís 138;;
292;Solana;Ecuador 945;(54 11) 4962-7337;;;;Ecuador;945;Ecuador 945;;
293;Universal;Cochabamba 1364;(54 11) 4306-5718;;;;Cochabamba;1364;Cochabamba 1364;;
294;Victoria;Chacabuco 726;(54 11) 4351-2135;;;;Chacabuco;726;Chacabuco 726;;
295;Washington;Garay, Juan De Av. 340;(54 11) 4361-4738;;;;Garay, Juan De Av.;340;Garay, Juan De Av. 340;;
296;Yale;Saenz Peña, Luis, Pres. 1007;(54 11) 4305-8754;;;;Saenz Peña, Luis, Pres.;1007;Saenz Peña, Luis, Pres. 1007;;
297;Art Factory Soho;Charcas 4500;(54 11) 4774-2639;info@artfactorysoho.com.ar;https://artfactoryhostels.com.ar/es/hostels/soho;;Charcas;4500;Charcas 4500;;
298;La Cascada Town House Hotel;Vuelta de Obligado 4578;(54 11) 4703-1251;info@lacascadatownhouse.com.ar;;;Vuelta de Obligado;4578;Vuelta de Obligado 4578;;
299;Telmotango;Chacabuco 679;(54 11) 4361-5808;info@hostelmotango.com;;;Chacabuco;679;Chacabuco 679;;
300;Legado Mitico;Gurruchaga 1848;(54 11) 4833-1300;reservasbsas@legadomitico.com;;;Gurruchaga;1848;Gurruchaga 1848;;
301;Duque Hotel Boutique;Guatemala 4364;(54 11) 4832-0312;reservas@duquehotel.com;;;Guatemala;4364;Guatemala 4364;;
302;Home Buenos Aires;Honduras 5860;(54 11) 4778-1008;info@homebuenosaires.com;;;Honduras;5860;Honduras 5860;;
303;Hotel Boutique Racó de Buenos Aires;Yapeyu 269;(54 11) 3530 6075;info@racodebuenosaires.com.ar;;;Yapeyu;269;Yapeyu 269;;
304;Tanguero Boutique;Suipacha 780;(54 11) 4328-7006 / 4328-7045;info@tanguerohotel.com;;;Suipacha;780;Suipacha 780;;
305;Mansion Vitraux;Calvo, Carlos 369;(54 11) 4300-6886;frontdesk.boutiquesuites@boutiqueapartmentsba.com;;;Calvo, Carlos;369;Calvo, Carlos 369;;
306;CasaCalma Hotel;Suipacha 1015;(54 11) 4312-5000;info@casacalmahotel.com;;;Suipacha;1015;Suipacha 1015;;
307;Fierro Hotel Boutique;Soler 5862;(54 11) 3220-6800;info@fierrohotel.com;;;Soler;5862;Soler 5862;;
308;Ilum Experience Home;El Salvador 5726;(54 11) 4776-8667;ilum@ilumhotel.com;;;El Salvador;5726;El Salvador 5726;;
309;Mio Buenos Aires;Quintana 465;(54 11) 5295-8500;reservas@miobuenosaires.com;www.miobuenosaires.com;;Quintana;465;Quintana 465;;
310;Tiana Buenos Aires;Humberto 1º 629;(54 11) 4362-8663 / 4300 8177;info@tianabuenosaires.com.ar;;;Humberto 1º;629;Humberto 1º 629;;
311;AWWA Suites & Spa;Lafinur 3370;(54 11) 3966-0000;info@awwasuites.com;;;Lafinur;3370;Lafinur 3370;;
312;Art Factory Hostel;Piedras 545;(54 11) 4343-1463;info@artfactoryba.com.ar;;;Piedras;545;Piedras 545;;
313;Art Factory Palermo;Costa Rica 4353;(54 11) 2004-4958;info@artfactorypalermo.com.ar;www.artfactoryhostels.com.ar;;Costa Rica;4353;Costa Rica 4353;;
314;Estacion Buenos Aires Hostel;Solis 458;(54 11) 4381-0734;info@hostelestacionbuenosaires.com;;;Solis;458;Solis 458;;
315;Hostel Recoleta;Libertad 1216;(54 11) 4812-4419;hotelesenba@gmail.com;;;Libertad;1216;Libertad 1216;;
316;O6 Central Hostel;Maipu 306;(54 11) 5219-0052/53;info@06centralhostel.com;;;Maipu;306;Maipu 306;;
317;Play Hostel Arcos;Charcas 4752;(54 11) 4773-0806;info@hostelsuitespalermo.com;;;Charcas;4752;Charcas 4752;;
318;Play Hostel Soho;Guatemala 4636;(54 11) 4832-4257;info@playhostel.com;;;Guatemala;4636;Guatemala 4636;;
319;Sabatico Traveller Hostel;Mexico 1410;(54 11) 4381-1138;info@sabaticohostel.com.ar;http://www.sabaticohostel.com.ar/;;Mexico;1410;Mexico 1410;;
320;Sudamerika Hostel & Suites;Yrigoyen, Hipolito 951;(54 11) 4342-3053;info@sudamerikahostel.com.ar;;;Yrigoyen, Hipolito;951;Yrigoyen, Hipolito 951;;
321;Alvear Art Hotel;Suipacha 1036;(54 11) 4114-3400;info@alvearart.com,recepcion.aah@alvear.com.ar;;;Suipacha;1036;Suipacha 1036;;
322;Apart Independencia;Independencia Av. 1877;(54 11) 4384-1102;independencia@luzyfuerzapatagonia.com.ar;;;Independencia Av.;1877;Independencia Av. 1877;;
323;Bet Hotel;Saavedra 526;(54 11) 4942-3399;info@bethotelbuenosaires.com.ar;;;Saavedra;526;Saavedra 526;;
324;Hotel Anselmo Buenos Aires Curio Collection by Hilton;Anselmo Aieta 1069;(54 11) 4834-3200;info@anselmohotel.com;;;Anselmo Aieta;1069;Anselmo Aieta 1069;;
325;Infinito Hotel Eco Design;Arenales 3689;(54 11) 4832-1060 / 2070 2626;info@infinitohotel.com;;;Arenales;3689;Arenales 3689;;
326;Kenton Palace;Defensa 383;(54 11) 4331-2020;reservas1@kentonpalace.com.ar;;;Defensa;383;Defensa 383;;
327;The Loft;Rivadavia Av. 921;(54 11) 4331-4538;reservastheloft@outlook.com;;;Rivadavia Av.;921;Rivadavia Av. 921;;
328;Algodon Mansion;Montevideo 1647;(54 11) 3530-7777;reservations@algodonmansion.com;;;Montevideo;1647;Montevideo 1647;;
329;Club Frances;Rodriguez Peña 1832;(54 11) 4811-0348;info@hotelclubfrances.com.ar;;;Rodriguez Peña;1832;Rodriguez Peña 1832;;
330;Miravida Soho;Darragueyra 2050;(54 11) 4774-6433;info@miravidasoho.com;;;Darragueyra;2050;Darragueyra 2050;;
331;Tango De Mayo;De Mayo Av. 1396;(54 11) 3221-6500;info@tango-hotel.com.ar;;;De Mayo Av.;1396;De Mayo Av. 1396;;
332;Arc Recoleta;Peña 2155;(54 11) 2150-4680;reservas@archoteles.com.ar;https://www.archoteles.com.ar/;;Peña;2155;Peña 2155;;
333;Carles Hotel;Juncal 798;(54 11) 5196-8200;info@carleshotelbuenosaires.com;www.carleshotelbuenosaires.com;;Juncal;798;Juncal 798;;
334;Costa Rica;Costa Rica 4137;(54 11) 4864-7390;info@hotelcostarica.com.ar;;;Costa Rica;4137;Costa Rica 4137;;
335;Koten Hotel Palermo Soho;Guemes 4651;(54 11) 4771-3293;info@kotenhotel.com;;;Guemes;4651;Guemes 4651;;
336;Mérit San Telmo;Alsina 801;(54 11) 5280-9100;recepcionnmba@merithoteles.com.ar;;;Alsina;801;Alsina 801;;
337;Patios de San Telmo;Chacabuco 752;(54 11) 4307-0480/0965;info@patiosdesantelmo.com.ar;;;Chacabuco;752;Chacabuco 752;;
338;Posada Gotan B&B;Sanchez de Loria 1618;(54 11) 4912-3807;posadagotan@gmail.com;;;Sanchez de Loria;1618;Sanchez de Loria 1618;;
339;1828 Smart Hotel;Fray Justo Santa María de Oro 1828;(54 11) 2060-9011;reservas@1828smarthotel.com;;;Fray Justo Santa María de Oro;1828;Fray Justo Santa María de Oro 1828;;
340;Casasur Recoleta;Callao Av. 1823;(54 11) 4515-0085;info@casasurhotel.com;;;Callao Av.;1823;Callao Av. 1823;;
341;L´Hotel Palermo;Thames 1562;(54 11) 4831-7198;info@lhotelpalermo.com;;;Thames;1562;Thames 1562;;
342;Palo Santo Hotel;Bonpland 2275;(54 11) 5280-6100;info@palosantohotel.com;;;Bonpland;2275;Bonpland 2275;;
343;Alvear Icon Hotel;Aime Paine 1110;(54 11) 4114-0900;reservationsicon@alvear.com.ar;;;Aime Paine;1110;Aime Paine 1110;;
344;América del Sur Hostel;Chacabuco 718;(54 11) 4300-5525;baires@americahostel.com.ar;;;Chacabuco;718;Chacabuco 718;;
345;Casasur Palermo Hotel;Costa Rica 6032;(54 11) 4770-9452;recepcion@casasurpalermo.com;;;Costa Rica;6032;Costa Rica 6032;;
346;Feel Apartments;Fray Justo Santa María de Oro 2047;(54 9 11) 6368-3109;info@feelbuenosairesapartments.com;;;Fray Justo Santa María de Oro;2047;Fray Justo Santa María de Oro 2047;;
347;Howard Johnson Plaza Buenos Aires;Lima 653;(54 11) 2205-8900;administracion.florencia@hjplazabuenosaires.com.ar;;;Lima;653;Lima 653;;
348;Malevo Muraña Hostel;Russel 5050;(54 11) 4831-8855;info@malevohostel.com;;;Russel;5050;Russel 5050;;
349;Argenta Suites Belgrano;Ciudad De La Paz 1868;(54 11) 4706-1881;ventas@argenta-suites.com.ar;;;Ciudad De La Paz;1868;Ciudad De La Paz 1868;;
350;Blank;Peña 2049;(54 11) 4195-1137;reservas@blankhotel.com.ar;;;Peña;2049;Peña 2049;;
351;Dazzler by Wyndham Buenos Aires Recoleta;Av. Las Heras 2161;(54 11) 2058-5556;recepcion@dazzlerrecoleta.com;;;Av. Las Heras;2161;Av. Las Heras 2161;;
352;Faena Hotel Buenos Aires;Martha Salotti 445;(54 11) 4010-9000;info@faenahotels.com;;;Martha Salotti;445;Martha Salotti 445;;
353;Grand Brizo;Cerrito 180;(54 11) 3985-7800;jibanez@grandbrizohoteles;;;Cerrito;180;Cerrito 180;;
354;Hotel Hipólito;Yrigoyen, Hipolito 2940;(54 11) 4957-6476;hotelhipolito@hotmail.com;;;Yrigoyen, Hipolito;2940;Yrigoyen, Hipolito 2940;;
355;Howard Johnson Abasto by Windham;Jean Jaures 892;(54 11) 5292-5100;reservas@hjabasto.com.ar;;;Jean Jaures;892;Jean Jaures 892;;
356;Konke Buenos Aires;Corrientes Av. 4320;(54 11) 5284-8300;gerencia@konkehotel.com;;;Corrientes Av.;4320;Corrientes Av. 4320;;
357;Milhouse Avenue;De Mayo Av. 1245;(54 11) 5796-2009;info@milhousehostel.com;;;De Mayo Av.;1245;De Mayo Av. 1245;;
358;Palladio Hotel Buenos Aires - MGallery;Callao Av. 924;(54 11) 4700-7500;recepcion.palladio@accor.com;;;Callao Av.;924;Callao Av. 924;;
359;Hub Porteño;Rodriguez Peña 1967;(54 11) 4815-6100;front@hubporteño.com;;;Rodriguez Peña;1967;Rodriguez Peña 1967;;
360;Let Sun Hotel Boutique;Fitz Roy 1527;(54 11) 4779-1212;info@letsunhotel.com;;;Fitz Roy;1527;Fitz Roy 1527;;
361;Rendez Vous Hotel;Bonpland 1484;(54 11) 3964-5222;info@rendezvoushotel.com.ar;;;Bonpland;1484;Bonpland 1484;;
362;Sileo Hotel;Azcuenaga 1968;(54 11) 4809-0001;reservas@sileohotel.com;;;Azcuenaga;1968;Azcuenaga 1968;;
363;Cassa Lepage Art Hotel;Bolivar 365;(54 11) 5275-0594 / 0595 / 0596;info@cassalepage.com;https://www.cassalepage.com/;;Bolivar;365;Bolivar 365;;
364;Granados Hostel;Chile 374;(54 11) 4362-5600;info@granadoshostel.com;;;Chile;374;Chile 374;;
365;Hotel Huinid Obelisco;Sarmiento 1431;(54 11) 4371-4999;reservas@huinid.com;https://huinid.com/buenosaires/obelisco_hotel/;;Sarmiento;1431;Sarmiento 1431;;
366;OWN Grand Palermo Soho;Gurruchaga 2121;(54 11) 4831-2027;front@ownhotels.com;;;Gurruchaga;2121;Gurruchaga 2121;;
367;Scala Hotel;Irigoyen, Bernardo De 740;(54 11) 43430606;info@scalabuenosaires.com;http://scalabuenosaires.com/;;Irigoyen, Bernardo De;740;Irigoyen, Bernardo De 740;;
368;Arenales Hotel;Arenales 2984;(54 11) 4828-5000;info@hotelarenales.com.ar;;;Arenales;2984;Arenales 2984;;
